id,y,z,x,location
143204,105.714455602,-2385.722684087,-3229.242559567,barrel
143205,97.666109139,-2387.880387284,-3229.50603515,barrel
143206,91.774310612,-2393.775342044,-3229.698912663,barrel
143207,89.617762677,-2401.828,-3229.769510733,barrel
143208,91.774310612,-2409.880657956,-3229.698912663,barrel
143209,97.666109139,-2415.775612716,-3229.50603515,barrel
143210,105.714455602,-2417.933315913,-3229.242559567,barrel
143211,113.762802064,-2415.775612716,-3228.979083985,barrel
143212,119.654600591,-2409.880657956,-3228.786206472,barrel
143213,114.049649035,-2401.828,-3225.075725807,barrel
143214,109.818382899,-2394.495306055,-3225.214243119,barrel
143215,101.355850626,-2394.495306055,-3225.491277741,barrel
143216,97.12458449,-2401.828,-3225.629795052,barrel
143217,101.355850626,-2409.160693945,-3225.491277741,barrel
143218,109.818382899,-2409.160693945,-3225.214243119,barrel
143219,105.543238789,-2401.828,-3224.012426992,barrel
143301,-300.662916862,-1553.62,-3216.993044175,barrel
143302,-302.810230127,-1545.567342044,-3216.781552278,barrel
143303,-308.676799069,-1539.672387284,-3216.20374567,barrel
143304,-316.690681276,-1537.514684087,-3215.414447165,barrel
143305,-324.704563484,-1539.672387284,-3214.62514866,barrel
143306,-330.571132425,-1545.567342044,-3214.047342052,barrel
143307,-332.718445691,-1553.62,-3213.835850155,barrel
143308,-330.571132425,-1561.672657956,-3214.047342052,barrel
143309,-324.704563484,-1567.567612716,-3214.62514866,barrel
143310,-316.690681276,-1569.725315913,-3215.414447165,barrel
143311,-308.676799069,-1567.567612716,-3216.20374567,barrel
143312,-302.810230127,-1561.672657956,-3216.781552278,barrel
143313,-307.882915633,-1553.62,-3212.371222306,barrel
143314,-312.096062839,-1546.287306055,-3211.956263525,barrel
143315,-320.522357249,-1546.287306055,-3211.126345963,barrel
143316,-324.735504454,-1553.62,-3210.711387183,barrel
143317,-320.522357249,-1560.952693945,-3211.126345963,barrel
143318,-312.096062839,-1560.952693945,-3211.956263525,barrel
143319,-316.177764015,-1553.62,-3210.20671082,barrel
143401,-1123.037144199,-1553.62,-3029.559375321,barrel
143402,-1125.056551408,-1545.567342044,-3028.799324267,barrel
143403,-1130.573674506,-1539.672387284,-3026.72282617,barrel
143404,-1138.110204814,-1537.514684087,-3023.886277019,barrel
143405,-1145.646735121,-1539.672387284,-3021.049727868,barrel
143406,-1151.163858219,-1545.567342044,-3018.973229771,barrel
143407,-1153.183265429,-1553.62,-3018.213178717,barrel
143408,-1151.163858219,-1561.672657956,-3018.973229771,barrel
143409,-1145.646735121,-1567.567612716,-3021.049727868,barrel
143410,-1138.110204814,-1569.725315913,-3023.886277019,barrel
143411,-1130.573674506,-1567.567612716,-3026.72282617,barrel
143412,-1125.056551408,-1561.672657956,-3028.799324267,barrel
143413,-1128.814911955,-1553.62,-3023.226365025,barrel
143414,-1132.777100415,-1546.287306055,-3021.735102886,barrel
